Form,Field,Value,n,pct
Form B (Bepari/Faria),Actor subtype,Bepari,22,73.3
Form B (Bepari/Faria),Actor subtype,Faria,8,26.7
Form B (Bepari/Faria),Business pattern,Year_round,19,63.3
Form B (Bepari/Faria),Business pattern,Seasonal,11,36.7
Form B (Bepari/Faria),Supplier category,Fisherman,14,46.7
Form B (Bepari/Faria),Supplier category,Aratdar,11,36.7
Form B (Bepari/Faria),Supplier category,Faria,4,13.3
Form B (Bepari/Faria),Supplier category,Other,1,3.3
Form B (Bepari/Faria),Source location,Karnaphuli river ghat,8,26.7
Form B (Bepari/Faria),Source location,Fishery Ghat landing,6,20.0
Form B (Bepari/Faria),Source location,Bhola charter landing,5,16.7
Form B (Bepari/Faria),Source location,Teknaf,4,13.3
Form B (Bepari/Faria),Source location,Kuakata,3,10.0
Form B (Bepari/Faria),Source location,Moheshkhali,3,10.0
Form B (Bepari/Faria),Source location,Kutubdia,1,3.3
Form B (Bepari/Faria),Credit sales share,Almost_all,1,3.3
Form B (Bepari/Faria),Credit sales share,Some,22,73.3
Form B (Bepari/Faria),Credit sales share,None,7,23.3
Form R (Retailer),Buys from,Aratdar,22,73.3
Form R (Retailer),Buys from,Fisherman,5,16.7
Form R (Retailer),Buys from,Faria,2,6.7
Form R (Retailer),Buys from,Other,1,3.3
Form R (Retailer),Sells to,Household,16,53.3
Form R (Retailer),Sells to,Hotel,5,16.7
Form R (Retailer),Sells to,Hawker,4,13.3
Form R (Retailer),Sells to,Institutional,3,10.0
Form R (Retailer),Sells to,Other,2,6.7
Form R (Retailer),Sells on credit,Almost_all,4,13.3
Form R (Retailer),Sells on credit,Some,21,70.0
Form R (Retailer),Sells on credit,None,0,0.0
